                                         R          Energy
vdw-df                              3.6           -0.559431980576 
vdw-df2                             3.5029029029  -0.488061116711       
vdw-df-cx                           2.99099099099 -0.774365810283                          
vdw-df-optb88                       3.35510510511 -0.71145733729 
rvv10                               3.14994994995 -0.744531297773                               
rev-vdw-df2                         3.12052052052 -0.606765228458 
DF3-3.2353-6.8                      3.06846846847 -0.825673242134
optb88sol+rvdW1                     2.93748748749 -0.678360907609 
optb88sol+rvdW1+beta-0.0            2.93363363363 -0.683138967022 
optb86sol+rvdW1                     3.11611611612 -0.647800409221 
optb86sol+rvdW2                     3.04024024024 -0.662088052896 

